state_letter,set_extension,encoder_position,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_x_meters,est_position_y_meters,est_position_z_meters,est_velocity_x_meters_per_s,est_velocity_y_meters_per_s,est_velocity_z_meters_per_s,est_acceleration_x_gs,est_acceleration_y_gs,est_acceleration_z_gs,est_angular_rate_x_rad_per_s,est_angular_rate_y_rad_per_s,est_angular_rate_z_rad_per_s,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,74,0,31.10849852,37.99388123,101902.76562500,0.66439998,-0.70887226,0.00970184,-0.03556545,-0.14903212,-0.04302363,-42.42967987,-4.57773161,-19.94200134,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090152957533
S,74,0,31.12205376,37.99978638,101904.98437500,0.66378963,-0.70911640,0.01238738,-0.11185940,0.05696152,-0.05828242,-42.32143021,-4.55937195,-20.02203369,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090165066113
S,74,0,31.13433958,38.00111389,101904.45312500,0.66366756,-0.71119159,0.00957977,0.17805758,-0.09562636,-0.01250606,-42.30043411,-4.24633455,-19.89987183,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090176063961
S,74,0,31.14548680,38.00082397,101903.39062500,0.66464412,-0.70887226,0.01043426,-0.08134182,0.11036728,-0.05828242,-42.38657761,-4.37183332,-19.83250809,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090185963650
S,74,0,31.15929424,38.00149536,101903.59375000,0.66342342,-0.71302265,0.01019012,0.20094576,0.07222031,0.05615849,-42.44889450,-4.33113289,-19.91739655,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090198068749
S,74,0,31.17177861,38.00244141,101903.71875000,0.66476619,-0.71021503,0.01360809,-0.03556545,-0.05747939,-0.06591181,-42.39739227,-4.42240095,-19.98845291,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090209109929
S,74,0,31.18273668,37.99502563,101904.32812500,0.66366756,-0.71265644,0.01226531,-0.05082424,-0.16429090,0.23163456,-42.30056381,-4.51111412,-19.95339966,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090218940526
S,74,0,31.19428678,38.00111389,101903.84375000,0.66562068,-0.71216816,0.01043426,0.20094576,-0.05747939,-0.08880000,-42.26300049,-4.42655230,-19.97933006,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090231071050
S,74,0,31.20632835,37.99473572,101903.62500000,0.66354549,-0.70984882,0.01116668,-0.14237697,-0.01933242,0.11719364,-42.18714142,-4.38390970,-19.90335083,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090242067509
S,74,0,31.21824245,37.99102783,101904.29687500,0.66452205,-0.71009296,0.01092254,-0.06608303,-0.19480848,-0.18798213,-42.26145554,-4.29116297,-20.01984024,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00196858,0.00005665,1.00231862,0.00124416,0.00078358,0.00007558,0.44136134,-0.44420522,0.54699171,-0.55559164,,,,1,0,1771633090251950902
