state_letter,set_extension,encoder_position,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_x_meters,est_position_y_meters,est_position_z_meters,est_velocity_x_meters_per_s,est_velocity_y_meters_per_s,est_velocity_z_meters_per_s,est_acceleration_x_gs,est_acceleration_y_gs,est_acceleration_z_gs,est_angular_rate_x_rad_per_s,est_angular_rate_y_rad_per_s,est_angular_rate_z_rad_per_s,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,30,0,129.54089736,26.33177185,101614.96875000,-0.65299040,-0.67635244,0.33327326,1.10449052,0.70613348,0.14172488,-23.84846306,-42.14722443,-16.35860062,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02150153,-0.02018018,0.99938917,0.00576281,0.02300107,0.00273953,0.04490910,-0.02044204,0.58439702,-0.80996627,,,,1,0,1771692778225738262
S,30,0,129.55133820,26.33638000,101615.09375000,-0.65041417,-0.68123734,0.33595720,0.92138505,0.36281073,-0.09478633,-23.85467529,-42.04402542,-16.29119110,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02220256,-0.02040698,0.99944580,0.00275075,0.01848255,-0.00231963,0.04375743,-0.02177473,0.58399886,-0.81028175,,,,1,0,1771692778236715031
S,30,0,129.56214987,26.33512878,101616.00000000,-0.66156143,-0.67231733,0.33680496,0.32629231,-0.11021170,-0.12530391,-23.84828186,-42.13462067,-16.20609474,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02286674,-0.02060260,0.99957573,0.00472730,0.00671605,0.00047527,0.04375447,-0.02149086,0.58388698,-0.81037009,,,,1,0,1771692778247671215
S,30,0,129.57384423,26.33993530,101616.60937500,-0.66573137,-0.66535598,0.33314469,-0.19250649,-0.56034595,0.07306033,-23.87297249,-42.15299225,-16.27936935,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02293172,-0.02069314,0.99973220,0.00604381,-0.00665254,-0.00125419,0.04450583,-0.01995361,0.58417046,-0.81016433,,,,1,0,1771692778258694538
S,30,0,129.58464668,26.34167480,101615.40625000,-0.66634053,-0.66755277,0.33546117,-0.18487710,-0.60612231,-0.07952755,-23.85443878,-42.20147324,-16.27950096,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02281196,-0.02063031,0.99968749,0.00425644,-0.00881904,0.00313794,0.04541375,-0.01871197,0.58444971,-0.80994201,,,,1,0,1771692778269646320
S,30,0,129.59589915,26.34368896,101616.54687500,-0.66426092,-0.66401440,0.33777905,0.15081625,0.14155830,-0.01086300,-23.87283707,-42.17088699,-16.19404602,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02268143,-0.02071410,0.99974692,0.00350332,-0.00298320,0.00207234,0.04555893,-0.01829328,0.58432519,-0.81003320,,,,1,0,1771692778280671345
S,30,0,129.60589952,26.34060669,101616.82812500,-0.66438413,-0.66352600,0.33704734,0.63909745,0.23311104,0.34771851,-23.85457230,-42.20788193,-16.38929558,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02252572,-0.02088700,0.99980468,0.00039761,0.00671336,0.00074285,0.04539445,-0.01787674,0.58416170,-0.81016970,,,,1,0,1771692778291618003
S,30,0,129.61763411,26.34147644,101615.70312500,-0.66364837,-0.66316038,0.33985227,0.46362141,0.44673407,0.12646610,-23.90991592,-42.20766830,-16.34667778,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02230977,-0.02111227,0.99985009,0.00162007,0.00963311,0.00660000,0.04541362,-0.01757410,0.58355856,-0.81060970,,,,1,0,1771692778302637368
S,30,0,129.62839809,26.34301758,101616.87500000,-0.66229850,-0.67060775,0.33460972,0.39495686,0.40095770,0.01202518,-23.91003990,-42.14719772,-16.37697601,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02226803,-0.02127608,0.99988711,-0.00026233,0.00831548,0.00047674,0.04486141,-0.01777073,0.58337414,-0.81076890,,,,1,0,1771692778313623570
S,30,0,129.63978861,26.34686279,101616.12500000,-0.65690988,-0.67415208,0.33290541,0.02874594,-0.23228200,-0.05663937,-23.90383339,-42.18962479,-16.38320351,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02248763,-0.02129034,0.99999982,0.00538500,0.00134969,0.00194185,0.04377709,-0.01861721,0.58376098,-0.81053078,,,,1,0,1771692778324620740
S,30,0,129.65090098,26.34936523,101615.00000000,-0.66033649,-0.67524797,0.33375719,-0.31457680,-0.41538745,0.08068973,-23.86051750,-42.24990463,-16.27356720,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02299480,-0.02121961,1.00001967,0.00105565,-0.00580616,0.00007738,0.04310052,-0.01962598,0.58404481,-0.81033868,,,,1,0,1771692778335572892
S,30,0,129.66194244,26.35148621,101617.59375000,-0.66008866,-0.67219639,0.34412187,-0.45190588,-0.19413504,0.43164185,-23.88516426,-42.15875626,-16.19402313,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,0.00000000,-0.02339058,-0.02140779,1.00009382,-0.00082686,-0.01126520,0.00593353,0.04290565,-0.01966384,0.58375812,-0.81055474,,,,1,0,1771692778346589279
