state_letter,set_extension,encoder_position,battery_voltage,current_milliamps,timestamp_seconds,temperature_celsius,pressure_pascals,raw_acceleration_x_gs,raw_acceleration_y_gs,raw_acceleration_z_gs,raw_rotated_acceleration_x_gs,raw_rotated_acceleration_y_gs,raw_rotated_acceleration_z_gs,est_tilt_angle_degrees,raw_angular_rate_x_deg_per_s,raw_angular_rate_y_deg_per_s,raw_angular_rate_z_deg_per_s,magnetic_field_x_microteslas,magnetic_field_y_microteslas,magnetic_field_z_microteslas,est_position_z_meters,est_velocity_z_meters_per_s,est_mach_number,est_quaternion_w,est_quaternion_x,est_quaternion_y,est_quaternion_z,predicted_apogee,height_used_for_prediction,velocity_used_for_prediction,retrieved_firm_packets,apogee_predictor_queue_size,update_timestamp_ns
S,122,0,16.270770000000002,297.0731707317073,80.64676122,36.69514465,98482.12500000,-0.71260715,0.70143217,-0.01925671,-0.00766671,0.06256609,0.99810487,3.44218993,1.14543736,-0.79269212,0.13275878,-9.98223209,-46.32231140,-20.35830307,-0.74549294,0.10055157,0.00028495,-0.03453813,-0.71560484,0.00395040,0.69763976,,,,1,0,1777050676911369489
S,122,0,16.27159,290.9756097560975,80.65873574,36.69049072,98483.12500000,-0.71931201,0.69435507,-0.02243226,-0.00492239,0.07258920,0.99737084,3.45218611,1.12254918,-0.89187425,0.16327636,-10.06904411,-46.31077957,-20.34019089,-0.74777573,0.09446099,0.00026770,-0.03450021,-0.71561551,0.00411523,0.69762987,,,,1,0,1777050676921560272
S,122,0,16.2751,315.8536585365854,80.66936391,36.69068909,98483.90625000,-0.72150689,0.69203645,-0.02414027,-0.00337052,0.07625107,0.99711782,3.47429085,0.98522002,-0.96816820,0.10987061,-10.00098324,-46.32236862,-20.44953537,-0.75515538,0.07986949,0.00022634,-0.03454715,-0.71562296,0.00436016,0.69761837,,,,1,0,1777050676932544810
S,122,0,16.26734,290.9756097560975,80.68137368,36.69543457,98484.34375000,-0.72796685,0.68447095,-0.02670682,-0.00122154,0.08675784,0.99580181,3.50352859,0.82500279,-0.70876878,0.08698242,-10.03208065,-46.34064102,-20.41308403,-0.76505333,0.06124620,0.00017357,-0.03465030,-0.71562749,0.00464620,0.69760662,,,,1,0,1777050676943543536
S,122,0,16.271530000000002,292.9268292682927,80.69181579,36.69427490,98484.37500000,-0.73125637,0.68557459,-0.02195966,-0.00612360,0.08874948,0.99865735,3.52908611,0.64189732,-0.54855150,0.10224121,-10.06992435,-46.44929886,-20.37658691,-0.77408046,0.04501571,0.00012757,-0.03477685,-0.71562767,0.00486285,0.69759876,,,,1,0,1777050676954533272
S,122,0,16.26699,308.0487804878049,80.70150012,36.70161438,98484.57812500,-0.73198223,0.68154693,-0.01940428,-0.00876945,0.09259032,0.99600762,3.56749177,0.03917518,0.03128242,0.25482908,-10.06350899,-46.41312408,-20.38268089,-0.78815508,0.02006124,0.00005685,-0.03499691,-0.71562415,0.00515944,0.69758928,,,,1,0,1777050676965528502
S,122,0,16.25895,310.0,80.71434722,36.69543457,98483.32812500,-0.73174328,0.68435401,-0.02208238,-0.00605977,0.09120420,0.99795860,3.59575462,-0.52539998,0.55008119,0.25482908,-10.08166885,-46.32284164,-20.43748474,-0.79861122,0.00179374,0.00000508,-0.03522488,-0.71561384,0.00531715,0.69758713,,,,1,0,1777050676976507935
S,122,0,16.263530000000003,463.9024390243903,80.72436862,36.70703125,98483.54687500,-0.72564745,0.68996620,-0.01939512,-0.00840288,0.08317422,0.99800068,3.61449242,-0.94501668,0.98495668,0.14038818,-10.08773899,-46.31689835,-20.36453247,-0.80525357,-0.00968172,0.00002744,-0.03543857,-0.71560532,0.00535949,0.69758469,,,,1,0,1777050676987481115
S,122,0,16.272190000000002,280.9756097560976,80.73615496,36.70201111,98482.98437500,-0.71833175,0.69631028,-0.01585391,-0.01152635,0.07349084,0.99778086,3.62185192,-0.99842244,0.96206850,0.19379394,-10.14402962,-46.40762711,-20.27943039,-0.80728424,-0.01313235,0.00003722,-0.03559326,-0.71559906,0.00530566,0.69758373,,,,1,0,1777050676998485187
S,122,0,16.25157,367.0731707317073,80.74678474,36.70693970,98483.70312500,-0.70956135,0.70631391,-0.01827767,-0.00857419,0.06060017,0.99947226,3.63183975,-0.86109334,0.77133363,0.30823484,-10.05622101,-46.23237610,-20.38278198,-0.81075346,-0.01891139,0.00005359,-0.03572936,-0.71559328,0.00530659,0.69758260,,,,1,0,1777050677009472602
