state,extension,timestamp,gpsCorrelTimestampFlags,gpsCorrelTimestampTow,gpsCorrelTimestampWeekNum,scaledAccelX,scaledAccelY,scaledAccelZ,scaledGyroX,scaledGyroY,scaledGyroZ,estFilterGpsTimeTow,estFilterGpsTimeWeekNum,estOrientQuaternionX,estOrientQuaternionY,estOrientQuaternionZ,estOrientQuaternionW,estPressureAlt,estFilterState,estFilterDynamicsMode,estFilterStatusFlags,estAttitudeUncertQuaternionX,estAttitudeUncertQuaternionY,estAttitudeUncertQuaternionZ,estAttitudeUncertQuaternionW,estAngularRateX,estAngularRateY,estAngularRateZ,estCompensatedAccelX,estCompensatedAccelY,estCompensatedAccelZ
TEST_STATE,0.5,1726608208423428096,,,,,,,,,,304.45401,0,0.00432559941,-0.6485493183,-0.7609297037,-0.01873707771,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.03462658077,0.04271373153,0.06143294275,0.2307100445,-0.06012176722,9.855741501
TEST_STATE,0.5,1726608208422363648,6,304.4549866,0,0.01734430715,-0.0009318762459,0.9928565025,0.03090782091,0.03972705454,0.05660692975,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208423363584,6,304.4559937,0,0.0114601152,0.003660622984,0.9935480952,0.029507678,0.03752169758,0.05402754992,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208425425920,,,,,,,,,,304.4559937,0,0.004379062448,-0.648591876,-0.7608931065,-0.01873783953,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.03182123974,0.03836071119,0.05274940282,0.1914286464,-0.05899736285,9.752741814
TEST_STATE,0.5,1726608208424363008,6,304.4570007,0,0.003948858939,0.01283198223,0.9983720779,0.02960238792,0.03671966493,0.05057687312,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208425361408,6,304.4580078,0,-0.006313942373,0.01611441746,1.003582835,0.02917322703,0.03915210813,0.04533103853,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208427422208,,,,,,,,,,304.4580078,0,0.004428649321,-0.6486307979,-0.7608596683,-0.01873725839,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.03179208189,0.03518179432,0.05167211592,0.1150146946,0.0424666144,9.736084938
TEST_STATE,0.5,1726608208426359040,6,304.4590149,0,-0.01659746841,0.01465360448,1.00739181,0.03163050115,0.04230117053,0.03946072608,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208427355904,6,304.4599915,0,-0.02455465868,0.006185857579,1.004818797,0.03494073823,0.04587448388,0.04003349319,,,,,,,,,,,,,,,,,,,,
TEST_STATE,0.5,1726608208429416960,,,,,,,,,,304.4599915,0,0.004476999864,-0.6486657262,-0.7608296275,-0.01873627491,68.7875061,2,1,0,0.0008659150335,0.01238147356,0.01055775862,0.0007575341733,0.03099020943,0.03607532009,0.04233597592,-0.06708140671,0.1808083504,9.847559929
